Team,stage
Russia,QF
Saudi Arabia,Group
Egypt,Group
Uruguay,QF
Morocco,Group
Iran,Group
Portugal,R16
Spain,R16
France,W
Australia,Group
Peru,Group
Denmark,R16
Argentina,R16
Iceland,Group
Croatia,RU
Nigeria,Group
Costa Rica,Group
Serbia,Group
Brazil,QF
Switzerland,R16
Germany,Group
Mexico,R16
Sweden,QF
South Korea,Group
Belgium,SF
Panama,Group
England,SF
Tunisia,Group
Colombia,R16
Japan,R16
Poland,Group
Senegal,Group
