Team,Group
Russia,A
Saudi Arabia,A
Egypt,A
Uruguay,A
Morocco,B
Iran,B
Portugal,B
Spain,B
France,C
Australia,C
Peru,C
Denmark,C
Argentina,D
Iceland,D
Croatia,D
Nigeria,D
Costa Rica,E
Serbia,E
Brazil,E
Switzerland,E
Germany,F
Mexico,F
Sweden,F
South Korea,F
Belgium,G
Panama,G
England,G
Tunisia,G
Colombia,H
Japan,H
Poland,H
Senegal,H
