alias,team
1A,Uruguay
2A,Russia
1B,Spain
2B,Portugal
1C,France
2C,Denmark
1D,Croatia
2D,Argentina
1E,Brazil
2E,Switzerland
1F,Sweden
2F,Mexico
1G,Belgium
2G,England
1H,Colombia
2H,Japan
1A2B,Uruguay
1C2D,France
1E2F,Brazil
1G2H,Belgium
1B2A,Russia
1D2C,Croatia
1F2E,Sweden
1H2G,England
1A2B1C2D,France
1E2F1G2H,Belgium
1B2A1D2C,Croatia
1F2E1H2G,England
1A2B1C2D1E2F1G2H,France
1B2A1D2C1F2E1H2G,Croatia
1A2B1C2D1E2F1G2H1B2A1D2C1F2E1H2G,France
