,team,G,R16,QF,SF,RU,W
0,Qatar,6,1,0,0,1,2
1,Ecuador,5,1,3,1,0,0
2,Senegal,8,1,0,1,0,0
3,Netherlands,1,3,3,1,1,1
4,England,7,2,0,1,0,0
5,Iran,4,5,0,1,0,0
6,USA,7,3,0,0,0,0
7,Wales,2,4,3,0,1,0
8,Argentina,5,4,1,0,0,0
9,Saudi Arabia,8,2,0,0,0,0
10,Mexico,5,2,1,1,1,0
11,Poland,2,5,1,2,0,0
12,France,3,2,2,1,2,0
13,Australia,5,1,4,0,0,0
14,Denmark,7,1,1,0,1,0
15,Tunisia,5,3,1,1,0,0
16,Spain,5,3,1,1,0,0
17,Costa Rica,5,3,1,1,0,0
18,Germany,7,1,0,1,0,1
19,Japan,3,4,0,1,1,1
20,Belgium,4,2,3,0,0,1
21,Canada,4,3,2,0,0,1
22,Morocco,4,3,2,1,0,0
23,Croatia,8,1,0,1,0,0
24,Brazil,6,2,1,0,0,1
25,Serbia,3,4,1,1,1,0
26,Switzerland,5,4,1,0,0,0
27,Cameroon,6,0,2,1,0,1
28,Portugal,6,2,2,0,0,0
29,Ghana,7,1,1,1,0,0
30,Uruguay,4,2,3,0,0,1
31,South Korea,3,5,0,1,1,0
