Team,Group
Germany,A
Scotland,A
Hungary,A
Switzerland,A
Spain,B
Croatia,B
Italy,B
Albania,B
Slovenia,C
Denmark,C
Serbia,C
England,C
Netherlands,D
France,D
Poland,D
Austria,D
Ukraine,E
Slovakia,E
Belgium,E
Romania,E
Portugal,F
Czech Republic,F
Georgia,F
Turkey,F
