Team,Group,R16,QF,SF,RU,W
Argentina,49588,22395,11469,8776,4042,3730
Australia,91294,6064,2176,415,46,5
Belgium,8244,20435,21909,16611,12760,20041
Brazil,2185,18644,26593,15557,13351,23670
Cameroon,95646,3367,840,126,16,5
Canada,87299,10583,1841,235,40,2
Costa Rica,95237,4350,355,55,3,0
Croatia,41526,29192,16866,6629,3635,2152
Denmark,32690,22381,20824,14405,5777,3923
Ecuador,38853,47021,11080,2567,411,68
England,7044,24541,31455,19214,9520,8226
France,8167,22408,24411,21221,11346,12447
Germany,72786,18316,4987,2398,1000,513
Ghana,88883,10371,677,61,8,0
Iran,83327,12767,2889,867,129,21
Japan,25761,57353,12521,3267,908,190
Mexico,54459,29498,9940,4454,1224,425
Morocco,62931,24350,9203,2372,881,263
Netherlands,2599,31544,26948,21900,9296,7713
Poland,56142,29609,9184,3822,940,303
Portugal,12479,45018,24678,9572,5028,3225
Qatar,95942,3407,558,86,7,0
Saudi Arabia,39811,49430,8596,1899,239,25
Senegal,62606,25733,8231,2585,655,190
Serbia,75691,14557,7085,1851,623,193
South Korea,60238,32153,5937,1283,328,61
Spain,6216,35421,29071,11663,8793,8836
Switzerland,26478,34363,24328,8714,4148,1969
Tunisia,67849,18215,9737,3432,616,151
USA,53213,27639,11926,5354,1351,517
Uruguay,38400,41527,13109,4258,1880,826
Wales,56416,27348,10576,4351,999,310
