Team,Group,R32,R16,QF,SF,RU,W
Algeria,986,2185,735,337,113,41,9
Argentina,41,1029,559,695,579,488,1015
Australia,1468,1704,827,319,67,18,3
Austria,1124,2143,673,318,103,34,11
Belgium,119,1131,1160,1111,450,268,167
Bosnia and Herzegovina,2762,1348,251,43,1,1,0
Brazil,25,866,813,600,809,511,782
Canada,257,1872,1605,495,136,31,10
Cape Verde,3094,1120,170,21,1,0,0
Colombia,261,1357,1096,846,440,241,165
Croatia,315,1988,1110,554,300,99,40
Curaçao,4205,194,6,1,0,0,0
Czech Republic,1237,1866,864,350,71,17,1
DR Congo,2866,1266,215,49,10,0,0
Ecuador,297,1759,1202,713,290,97,48
Egypt,796,1862,1206,406,104,28,4
England,70,1171,862,929,644,372,358
France,125,927,1359,708,598,348,341
Germany,106,1483,1202,886,445,191,93
Ghana,2932,1285,153,32,3,1,0
Haiti,4092,300,12,2,0,0,0
Iran,664,1884,1255,444,117,38,4
Iraq,3535,716,133,19,3,0,0
Ivory Coast,701,2209,1004,374,84,23,11
Japan,838,2028,803,388,215,80,54
Jordan,3682,629,77,18,0,0,0
Mexico,393,1804,1405,512,234,40,18
Morocco,253,1803,1130,543,406,170,101
Netherlands,582,1932,894,487,302,123,86
New Zealand,3944,425,36,1,0,0,0
Norway,1101,1711,1061,364,132,27,10
Panama,3010,1250,126,18,2,0,0
Paraguay,1791,1631,666,250,53,12,3
Portugal,124,1005,961,1006,552,363,395
Qatar,3069,1121,197,17,2,0,0
Saudi Arabia,2957,1258,155,30,6,0,0
Scotland,1321,2135,699,207,37,6,1
Senegal,925,1694,1155,376,171,62,23
South Africa,2732,1240,336,91,7,0,0
South Korea,1329,1816,823,344,75,16,3
Spain,53,1430,934,515,507,420,547
Sweden,2336,1505,400,125,31,4,5
Switzerland,212,1625,1569,665,236,70,29
Tunisia,1928,1678,533,178,68,17,4
Turkey,1676,1723,725,223,47,10,2
United States,754,1826,1140,522,108,50,6
Uruguay,412,2374,775,449,250,89,57
Uzbekistan,2996,1188,176,43,3,0,0
