Team,Group,R16,QF,SF,RU,W
Argentina,32729,16753,11443,16766,8649,13660
Australia,86988,9383,2768,776,74,11
Belgium,6699,20819,25335,17349,15117,14681
Brazil,769,15249,16647,15156,13528,38651
Cameroon,96714,2627,567,78,13,1
Canada,84999,11951,2781,225,42,2
Costa Rica,83527,12046,2972,1038,332,85
Croatia,43345,28807,19359,5059,2502,928
Denmark,35879,28874,16600,12844,3918,1885
Ecuador,26369,48341,18016,5819,1199,256
England,4448,29498,32887,17965,9564,5638
France,6178,29536,23412,20285,12135,8454
Germany,73742,16853,5382,2430,1202,391
Ghana,93089,6551,322,35,3,0
Iran,53607,31466,10846,3482,491,108
Japan,36234,48669,11980,2386,624,107
Mexico,56401,26357,9873,5483,1436,450
Morocco,64957,23573,9413,1540,423,94
Netherlands,5152,35397,29859,19735,6015,3842
Poland,64784,24444,7053,2961,648,110
Portugal,16132,46522,21205,8949,4974,2218
Qatar,93503,5061,1165,219,43,9
Saudi Arabia,46086,44941,7380,1459,123,11
Senegal,74976,16996,5746,1735,441,106
Serbia,71975,18281,7171,1860,580,133
South Korea,65983,29190,3853,781,167,26
Spain,6497,37282,37142,9358,5853,3868
Switzerland,30542,38195,19821,7237,3231,974
Tunisia,70955,19712,6753,2256,294,30
USA,51335,27287,13936,5783,1276,383
Uruguay,24796,43385,16050,7983,4941,2845
Wales,90610,5954,2263,968,162,43
