Team,Rating
USA,2090.03
Germany,2061.56
Sweden,2049.71
England,2040.76
France,2026.65
Spain,2002.28
Canada,1996.34
Brazil,1995.3
Netherlands,1980.47
Australia,1919.69
Japan,1916.68
Norway,1908.25
Denmark,1866.25
China PR,1854.49
Iceland,1854.4
Italy,1846.5
South Korea,1840.27
Austria,1813.56
Belgium,1795.67
Switzerland,1765.9
Portugal,1745.13
Republic of Ireland,1743.59
Scotland,1735.87
Russia,1717.06
Colombia,1702.64
New Zealand,1699.7
Czech Republic,1690.16
Argentina,1682.45
Finland,1676.76
Wales,1665.82
Poland,1662.26
Vietnam,1648.89
Ukraine,1644.63
Serbia,1622.42
Mexico,1621.8
Costa Rica,1596.94
Taiwan,1578.28
Romania,1564.03
Slovenia,1556.25
Nigeria,1554.94
Chile,1553.22
Hungary,1544.83
Jamaica,1536.81
Thailand,1530.56
Northern Ireland,1523.83
Philippines,1512.97
Slovakia,1512.7
Paraguay,1505.2
Uzbekistan,1498.55
Myanmar,1487.58
Venezuela,1486.32
Panama,1482.51
Haiti,1478.33
South Africa,1471.52
Papua New Guinea,1469.52
Cameroon,1445.75
Belarus,1443.08
Ghana,1419.63
Croatia,1416.26
India,1413.52
IR Iran,1409.89
Greece,1405.82
Turkey,1388.37
Uruguay,1385.45
Bosnia and Herzegovina,1382.41
Cote D’Ivoire,1379.39
Ecuador,1376.11
Israel,1358.37
Fiji,1345.58
Equatorial Guinea,1344.47
Albania,1342.43
Morocco,1334.08
Jordan,1322.78
Peru,1318.61
Trinidad and Tobago,1318.11
Tunisia,1298.6
Zambia,1298.31
Hong Kong,1297.87
Azerbaijan,1290.24
Algeria,1288.27
Mali,1273.24
Senegal,1264.44
Guatmala,1259.69
Bahrain,1254.12
Guyana,1247.77
Malta,1245.35
Laos,1240.52
Egypt,1229.98
Malaysia,1228.66
Bulgaria,1228.25
Montenegro,1224.14
Tonga,1221.48
Guam,1218.07
Cuba,1217.56
Lithuania,1216.59
Bolivia,1213.1
Samoa,1212.01
Estonia,1211.02
Kazakhstan,1205.62
Faroe Islands,1201.1
Nepal,1199.88
Kosovo,1188.46
Puerto Rico,1186.72
Solomon Islands,1181.11
Indonesia,1179.93
New Caledonia,1176.63
Tahiti,1175.09
Cook Islands,1174.93
Dominican Republic,1173.44
Congo,1161.46
Moldova,1161.34
DR Congo,1159.00 
United Arab Emirates,1158.26
Nicaragua,1157.63
El Salvador,1148.88
Honduras,1145.70
Luxembourg,1145.65
Cambodia,1144.56
Latvia,1142.40
Togo,1138.33
Cyprus,1134.28
Vanuatu,1132.82
Gambia,1129.72
Ethiopia,1117.66
Zimbabwe,1115.59
Georgia,1113.38
Mongolia,1108.79
Kyrgyzstan,1099.57
North Macedonia,1093.35
Palestine,1091.95
Singapore,1090.86
Saint Kitts and Nevis,1090.74
Suriname,1089.15
Cabo Verde,1088.27
Gabon,1079.87
Guinea,1075.90
Turkmenistan,1075.41
Lebanon,1062.88
Sierra Leone,1059.98
Bangladesh,1054.55
Burkina Faso,1050.87
Armenia,1044.94
Angola,1037.32
American Samoa,1030.00
Benin,1020.94
Namibia,1011.92
Bermuda,1007.55
Kenya,991.78
Tajikistan,991.20
Botswana,984.32
Saint Lucia,982.00
Tanzania,980.17
Barbados,966.80
Sri Lanka,955.21
Saint Vincent and the Grenadines,950.85
Timor Leste,946.01
Pakistan,944.58
Syria,942.82
Malawi,941.00
Maldives,938.55
Uganda,924.09
Dominica,910.74
Rwanda,894.87
Liberia,891.31
Seychelles,884.64
Niger,877.93
Cayman Islands,854.05
Grenada,849.17
Lesotho,847.17
Saudi Arabia,844.30
Bhutan,841.86
Belize,839.85
Guinea-Bissau,834.73
Mozambique,820.17
Antigua and Barbuda,804.42
Burundi,799.08
Eswatini,798.94
USA Virgin Islands,793.07
Curaçao,771.22
Andorra,751.46
British Virgin Islands,735.87
Aruba,728.86
Comoros,722.61
Madagascar,691.00
Anguilla,687.55
Turks and Caicos Islands,664.95
South Sudan,649.69
Mauritius,375.59
