alias,team
1A,Switzerland
2A,Norway
1B,Australia
2B,Nigeria
1C,Japan
2C,Spain
1D,England
2D,Denmark
1E,Netherlands
2E,USA
1F,France
2F,Jamaica
1G,Sweden
2G,South Africa
1H,Colombia
2H,Morocco
1A2C,Spain
1E2G,Netherlands
1C2A,Japan
1G2E,Sweden
1B2D,Australia
1F2H,France
1D2B,England
1H2F,Colombia
1A2C1E2G,Spain
1C2A1G2E,Sweden
1B2D1F2H,England
1D2B1H2F,Australia
1A2C1E2G1C2A1G2E,Spain
1B2D1F2H1D2B1H2F,England
1A2C1E2G1C2A1G2E1B2D1F2H1D2B1H2F,
