Team,Stage
Russia,QF
Saudi Arabia,G
Egypt,G
Uruguay,QF
Morocco,G
Iran,G
Portugal,R16
Spain,R16
France,W
Australia,G
Peru,G
Denmark,R16
Argentina,R16
Iceland,G
Croatia,RU
Nigeria,G
Costa Rica,G
Serbia,G
Brazil,QF
Switzerland,R16
Germany,G
Mexico,R16
Sweden,QF
South Korea,G
Belgium,SF
Panama,G
England,SF
Tunisia,G
Colombia,R16
Japan,R16
Poland,G
Senegal,G
