alias,team
1A,Netherlands
2A,Senegal
1B,England
2B,USA
1C,Argentina
2C,Poland
1D,France
2D,Australia
1E,Japan
2E,Spain
1F,Morocco
2F,Croatia
1G,Brazil
2G,Switzerland
1H,Portugal
2H,South Korea
1A2B,Netherlands
1C2D,Argentina
1E2F,Croatia
1G2H,Brazil
1B2A,England
1D2C,France
1F2E,Morocco
1H2G,Portugal
1A2B1C2D,Argentina
1E2F1G2H,Croatia
1B2A1D2C,
1F2E1H2G,Morocco
1A2B1C2D1E2F1G2H,
1B2A1D2C1F2E1H2G,
1A2B1C2D1E2F1G2H1B2A1D2C1F2E1H2G,
