home_team,away_team,date,stage
Germany,Scotland,2024-06-14,Group
Hungary,Switzerland,2024-06-15,Group
Spain,Croatia,2024-06-15,Group
Italy,Albania,2024-06-15,Group
Poland,Netherlands,2024-06-16,Group
Slovenia,Denmark,2024-06-16,Group
Serbia,England,2024-06-16,Group
Romania,Ukraine,2024-06-17,Group
Belgium,Slovakia,2024-06-17,Group
Austria,France,2024-06-17,Group
Turkey,Georgia,2024-06-18,Group
Portugal,Czech Republic,2024-06-18,Group
Croatia,Albania,2024-06-19,Group
Germany,Hungary,2024-06-19,Group
Scotland,Switzerland,2024-06-19,Group
Slovenia,Serbia,2024-06-20,Group
Denmark,England,2024-06-20,Group
Spain,Italy,2024-06-20,Group
Slovakia,Ukraine,2024-06-21,Group
Poland,Austria,2024-06-21,Group
Netherlands,France,2024-06-21,Group
Georgia,Czech Republic,2024-06-22,Group
Turkey,Portugal,2024-06-22,Group
Belgium,Romania,2024-06-22,Group
Germany,Switzerland,2024-06-23,Group
Scotland,Hungary,2024-06-23,Group
Albania,Spain,2024-06-24,Group
Croatia,Italy,2024-06-24,Group
France,Poland,2024-06-25,Group
Netherlands,Austria,2024-06-25,Group
England,Slovenia,2024-06-25,Group
Denmark,Serbia,2024-06-25,Group
Ukraine,Belgium,2024-06-26,Group
Slovakia,Romania,2024-06-26,Group
Czech Republic,Turkey,2024-06-26,Group
Georgia,Portugal,2024-06-26,Group
2A,2B,2024-06-29,R16
1A,2C,2024-06-29,R16
1C,3DEF,2024-06-30,R16
1B,3ADEF,2024-06-30,R16
2D,2E,2024-07-01,R16
1F,3ABC,2024-07-01,R16
1E,3ABCD,2024-07-02,R16
1D,2F,2024-07-02,R16
1B3ADEF,1A2C,2024-07-05,QF
1F3ABC,2D2E,2024-07-05,QF
1C3DEF,2A2B,2024-07-06,QF
1E3ABCD,1D2F,2024-07-06,QF
1B3ADEF1A2C,1F3ABC2D2E,2024-07-09,SF
1C3DEF2A2B,1E3ABCD1D2F,2024-07-10,SF
1B3ADEF1A2C1F3ABC2D2E,1C3DEF2A2B1E3ABCD1D2F,2024-07-14,F
