alias,team
1A,
2A,
1B,
2B,
1C,
2C,
1D,
2D,
1E,
2E,
1F,
2F,
3DEF,
1A2C,
3ADEF,
2D2E,
3ABC,
2A2B,
3ABCD,
1B3ADEF,
1F3ABC,
1C3DEF,
1E3ABCD,
1D2F,
1B3ADEF1A2C,
1F3ABC2D2E,
1C3DEF2A2B,
1E3ABCD1D2F,
1B3ADEF1A2C1F3ABC2D2E,
1C3DEF2A2B1E3ABCD1D2F,
1B3ADEF1A2C1F3ABC2D2E1C3DEF2A2B1E3ABCD1D2F,
