Team,Group,R16,QF,SF,RU,W
Argentina,24600,28116,18383,15790,6660,6451
Australia,67920,25458,5327,1175,106,14
Belgium,51514,16938,13650,6950,4788,6160
Brazil,0,12522,31099,16463,14243,25673
Cameroon,96354,2987,509,130,17,3
Canada,100000,0,0,0,0,0
Costa Rica,71171,23384,4571,756,106,12
Croatia,42317,28277,16841,7387,3298,1880
Denmark,36299,30005,16064,11907,3387,2338
Ecuador,49251,39220,9481,1766,249,33
England,156,28778,34360,16044,10743,9919
France,0,20593,28946,17783,15470,17208
Germany,45161,27726,14638,7955,2955,1565
Ghana,55398,41598,2662,282,58,2
Iran,45080,39501,11828,3080,428,83
Japan,81915,13464,3777,653,157,34
Mexico,81248,15639,2261,643,160,49
Morocco,6169,53724,26067,9349,3313,1378
Netherlands,2001,31872,28920,21544,8286,7377
Poland,22086,52152,16784,6840,1644,494
Portugal,0,36052,27422,20411,9287,6828
Qatar,100000,0,0,0,0,0
Saudi Arabia,72066,25221,2305,375,29,4
Senegal,48748,30626,13776,4767,1517,566
Serbia,72017,19629,5238,2297,625,194
South Korea,93638,5824,443,73,17,5
Spain,1753,36487,32328,11510,8054,9868
Switzerland,31629,41233,14495,8306,2932,1405
Tunisia,95781,2816,969,359,59,16
USA,60004,26536,9417,3246,631,166
Uruguay,50964,40155,6260,1697,671,253
Wales,94760,3467,1179,462,110,22
