Team,Group
Brazil,A
Mexico,A
Croatia,A
Cameroon,A
Spain,B
Netherlands,B
Chile,B
Australia,B
Colombia,C
Greece,C
Japan,C
Ivory Coast,C
Uruguay,D
England,D
Costa Rica,D
Italy,D
Switzerland,E
France,E
Honduras,E
Ecuador,E
Argentina,F
Bosnia and Herzegovina,F
Nigeria,F
Iran,F
Germany,G
Portugal,G
Ghana,G
USA,G
Belgium,H
Algeria,H
Russia,H
South Korea,H
